Date,RLR
1929-05-01, 6847.
1929-06-01, 6859.
1929-07-01, 6851.
1929-08-01, 6861.
1929-09-01, 6914.
1929-10-01, 6937.
1929-11-01, 6940.
1929-12-01, 6931.
1930-01-01, 6867.
1930-02-01, 6959.
1930-03-01, 6858.
1930-04-01, 6971.
1930-05-01, 6909.
1930-06-01, 6905.
1930-07-01, 6909.
1930-08-01, 6851.
1930-09-01, 6898.
1930-10-01, 6916.
1930-11-01, 6919.
1930-12-01, 6934.
1931-01-01, 6889.
1931-02-01, 6853.
1931-03-01, 6960.
1931-04-01, 6888.
1931-05-01, 6882.
1931-06-01, 6865.
1931-07-01, 6865.
1931-08-01, 6877.
1931-09-01, 6864.
1931-10-01, 6932.
1931-11-01, 6989.
1931-12-01, 6826.
1932-01-01, 6807.
1932-02-01, 6776.
1932-03-01, 6894.
1932-04-01, 6855.
1932-05-01, 6851.
1932-06-01, 6870.
1932-07-01, 6901.
1932-08-01, 6884.
1932-09-01, 6970.
1932-10-01, 6954.
1932-11-01, 6925.
1932-12-01, 6937.
1933-01-01, 6899.
1933-02-01, 6910.
1933-03-01, 6866.
1933-04-01, 6811.
1933-05-01, 6894.
1933-06-01, 6921.
1933-07-01, 6864.
1933-08-01, 6872.
1933-09-01, 6971.
1933-10-01, 7018.
1933-11-01, 7045.
1933-12-01, 7038.
1934-01-01, 6834.
1934-02-01, 6765.
1934-03-01, 6951.
1934-04-01, 6991.
1934-05-01, 6926.
1934-06-01, 6907.
1934-07-01, 6905.
1934-08-01, 6879.
1934-09-01, 6868.
1934-10-01, 6841.
1934-11-01, 7035.
1934-12-01, 7040.
1935-01-01, 6894.
1935-02-01, 6911.
1935-03-01, 6842.
1935-04-01, 6851.
1935-05-01, 6908.
1935-06-01, 6864.
1935-07-01, 6864.
1935-08-01, 6887.
1935-09-01, 6856.
1935-10-01, 6943.
1935-11-01, 7044.
1935-12-01, 7032.
1936-01-01, 7046.
1936-02-01, 7037.
1936-03-01, 6989.
1936-04-01, 6973.
